datetime,generation_mw,demand_mw,load_shedding,gas,liquid_fuel,coal,hydro,solar,wind,india_bheramara_hvdc,india_tripura,india_adani,nepal,remarks
7/16/26 14:00,14948,,,5359,1827,5583,222,553,49,447,164,706,38,
7/16/26 13:00,15238,,,5488,1759,5767,222,566,65,447,146,740,38,
7/16/26 12:00,14788,,,5624,1391,5646,222,499,45,447,148,728,38,Day_Peak
7/16/26 11:00,14463,,,5510,1173,5648,222,512,26,447,128,751,38,
7/16/26 10:00,14091,,,5461,1004,5538,222,477,20,447,134,750,38,
7/16/26 9:00,13881,,,5604,793,5560,218,330,12,447,128,751,38,
7/16/26 8:00,13679,,,5597,726,5550,222,215,20,447,108,756,38,
7/16/26 7:00,13605,,,5707,729,5496,221,85,6,447,116,760,38,
7/16/26 6:00,13774,,,5470,913,5843,221,24,21,352,130,762,38,
7/16/26 5:00,14358,,,5588,931,6317,220,0,25,352,132,755,38,
7/16/26 4:00,14426,,,5606,1110,6183,220,0,23,351,140,755,38,
7/16/26 3:00,15155,,,5600,1942,6083,221,0,21,352,136,762,38,
7/16/26 2:00,15498,,,5520,2402,6049,221,0,10,352,150,756,38,
7/16/26 1:00,15965,,,5268,3011,6131,221,0,36,351,154,755,38,
7/16/26 0:00,16069,,,5493,2736,6285,221,0,24,355,154,763,38,
7/15/26 23:00,16144,,,5428,2856,6307,221,0,27,355,152,760,38,
7/15/26 22:00,16182,,,5452,3024,6170,221,0,37,355,132,753,38,
7/15/26 21:00,16030,,,5554,2961,6001,218,0,28,344,130,756,38,Evening_Peak
7/15/26 20:00,15757,,,5468,2708,6024,218,0,49,374,126,752,38,
7/15/26 19:30,15600,,,5544,2619,5820,203,0,43,447,130,756,38,
7/15/26 19:00,15033,,,5369,2305,5716,200,0,35,447,158,765,38,
7/15/26 18:00,14061,,,5183,1815,5431,200,43,59,447,132,713,38,
7/15/26 17:00,14356,,,5352,1981,5267,200,117,50,447,146,758,38,
7/15/26 16:00,14436,,,5216,1947,5328,202,279,62,447,160,760,38,
7/15/26 15:00,14639,,,5453,1796,5368,202,353,56,447,166,760,38,
7/15/26 14:00,14513,,,5270,1750,5369,172,495,60,447,164,758,38,
7/15/26 13:00,14784,,,5621,1823,5346,172,368,54,447,162,753,38,
7/15/26 12:00,14831,,,5651,1738,5337,172,489,46,447,154,759,38,Day_Peak
7/15/26 11:00,14562,,,5728,1465,5238,172,522,52,447,144,756,38,
7/15/26 10:00,14456,,,5778,1408,5234,173,420,61,448,144,752,38,
7/15/26 9:00,14190,,,5758,1503,5034,172,322,49,447,140,727,38,
7/15/26 8:00,13979,,,5689,1503,5046,172,208,25,447,122,729,38,
7/15/26 7:00,13980,,,5717,1528,5061,172,141,25,447,116,735,38,
7/15/26 6:00,14052,,,5680,1807,5120,172,25,8,352,128,722,38,
7/15/26 5:00,14438,,,5931,1874,5145,213,0,13,352,136,736,38,
7/15/26 4:00,14542,,,5842,2074,5146,213,0,6,359,142,722,38,
7/15/26 3:00,15300,,,5537,2853,5450,213,0,14,352,142,701,38,
7/15/26 2:00,15651,,,5560,2855,5745,217,0,21,351,140,724,38,
7/15/26 1:00,15531,,,5567,2713,5743,217,0,24,351,148,730,38,
7/15/26 0:00,15560,,,5560,2777,5744,222,0,7,351,138,723,38,
7/14/26 23:00,16291,,,5950,3090,5749,222,0,27,352,130,733,38,
7/14/26 22:00,16302,,,5868,3209,5744,222,0,13,352,132,724,38,
7/14/26 21:00,16344,,,5887,3331,5745,176,0,11,355,124,677,38,Evening_Peak
7/14/26 20:00,16333,,,5758,3346,5684,176,0,11,450,134,736,38,
7/14/26 19:30,16290,,,5794,3293,5625,176,0,19,450,156,739,38,
7/14/26 19:00,15396,,,5476,2914,5444,176,0,21,450,154,723,38,
7/14/26 18:00,14376,,,5256,2607,4996,176,45,12,450,132,664,38,
7/14/26 17:00,14848,,,5397,2499,5243,176,174,9,450,144,718,38,
