datetime,generation_mw,demand_mw,load_shedding,gas,liquid_fuel,coal,hydro,solar,wind,india_bheramara_hvdc,india_tripura,india_adani,nepal,remarks
5/14/26 10:00,12660,,,5404,271,4268,80,518,0,909,152,1058,0,
5/14/26 11:00,13298,,,5192,645,4719,77,550,4,909,156,1046,0,
5/14/26 12:00,13752,,,5303,765,4841,73,633,4,909,158,1066,0,Day_Peak
5/14/26 13:00,13874,,,5136,868,4919,72,711,24,909,164,1071,0,
5/14/26 14:00,13676,,,5156,926,4855,72,528,40,913,136,1050,0,
5/14/26 15:00,13543,,,4978,963,4913,74,441,46,913,130,1085,0,
5/14/26 16:00,13721,,,5163,1114,4882,76,345,20,912,134,1075,0,
5/14/26 17:00,13603,,,5186,1229,4822,78,133,24,913,152,1066,0,
5/14/26 18:00,13266,,,5014,1221,4722,80,30,16,913,140,1130,0,
5/14/26 19:00,14961,,,5417,1936,5061,80,0,14,913,158,1382,0,
5/14/26 19:30,15534,,,5466,2292,5298,80,0,25,770,160,1443,0,Evening_Peak
5/14/26 20:00,15405,,,5202,2397,5339,80,0,12,770,150,1455,0,
5/14/26 21:00,15225,,,5077,2234,5456,80,0,10,770,150,1448,0,
5/14/26 22:00,15050,,,5069,1971,5556,80,0,7,770,148,1449,0,
5/14/26 23:00,14877,,,4887,1893,5489,78,0,11,912,152,1455,0,
5/15/26 0:00,14797,,,5168,1936,5084,74,0,21,912,152,1450,0,
5/15/26 1:00,14331,,,5251,2031,4457,72,0,14,913,144,1449,0,
5/15/26 2:00,14038,,,5085,2133,4262,72,0,4,890,138,1454,0,
5/15/26 3:00,13670,,,4782,2191,4133,74,0,9,890,140,1451,0,
5/15/26 4:00,13318,,,4667,2096,3989,76,0,13,890,132,1455,0,
5/15/26 5:00,12691,,,4778,1369,3977,78,0,15,890,128,1456,0,
5/15/26 6:00,12172,,,4771,636,4177,79,32,11,890,122,1454,0,
5/15/26 7:00,12164,,,4788,560,4152,80,117,5,890,124,1448,0,
5/15/26 8:00,12010,,,4854,442,4064,80,226,2,898,118,1326,0,
5/15/26 9:00,11856,,,4749,438,3926,80,354,1,897,116,1295,0,
5/15/26 10:00,12098,,,4957,408,3753,80,613,2,898,128,1259,0,
5/15/26 11:00,12293,,,5194,389,3797,78,512,6,897,138,1282,0,
5/15/26 12:00,12919,,,5026,877,3956,78,624,8,906,146,1298,0,Day_Peak
5/15/26 13:00,13911,,,5220,1544,4120,70,545,9,906,156,1341,0,
5/15/26 14:00,13166,,,5258,1012,4066,70,425,10,906,152,1267,0,
5/15/26 15:00,13092,,,5286,894,4121,70,381,14,905,144,1277,0,
5/15/26 16:00,12510,,,5281,489,4176,72,233,6,905,144,1204,0,
5/15/26 17:00,11907,,,5079,404,4052,75,98,2,905,142,1150,0,
5/15/26 18:00,11723,,,5215,451,3890,75,17,0,906,116,1053,0,
5/15/26 19:00,13632,,,5392,1485,4319,79,0,1,906,92,1358,0,
5/15/26 19:30,14237,,,5316,1845,4528,80,0,0,906,120,1442,0,
5/15/26 20:00,14142,,,5433,1518,4611,80,0,0,906,138,1456,0,
5/15/26 21:00,14544,,,5677,1449,4827,80,0,0,906,150,1455,0,Evening_Peak
5/15/26 22:00,14504,,,5660,1440,4809,80,0,0,905,152,1458,0,
5/15/26 23:00,14231,,,5478,1360,4795,80,0,12,905,148,1453,0,
5/16/26 0:00,14098,,,5529,1479,4492,76,0,21,905,140,1456,0,
5/16/26 1:00,13650,,,5487,1235,4330,74,0,8,923,142,1451,0,
5/16/26 2:00,13212,,,5429,938,4242,70,0,12,923,140,1458,0,
5/16/26 3:00,13023,,,5432,743,4251,71,0,12,923,136,1455,0,
5/16/26 4:00,12718,,,5401,521,4219,73,0,7,923,124,1450,0,
5/16/26 5:00,12446,,,5335,394,4141,76,0,1,922,136,1441,0,
5/16/26 6:00,12209,,,5406,352,3958,77,16,0,923,126,1351,0,
5/16/26 7:00,12453,,,5395,428,4030,78,115,0,923,122,1362,0,
5/16/26 8:00,12337,,,5277,438,3941,79,232,0,923,130,1317,0,
5/16/26 9:00,12313,,,5242,428,3869,80,357,0,923,144,1270,0,
5/16/26 10:00,12414,,,5199,559,3854,40,467,1,923,156,1215,0,
